canonical_name,long_tail,wiki_status,recommendation,n_guest_quotes,n_staff_quotes,guest_strong,guest_medium,staff_strong,staff_medium,staff_weak,guest_score,staff_score,flag_public_radio,flag_other_network,exclusion_trigger_label,exclusion_marker,summary_filter_verdict,top_guest_quote,top_guest_source,top_staff_quote,top_staff_source,subst_dedup,n_dates_dedup,span_days_dedup,npr_share,n_programs,first_date,last_date,transcript_ids
Robert Traynham,1,long-tail,RE-ADMIT,38,1,19,19,0,0,1,20,1,0,0,"ROBERT TRAYNHAM, HOST, ""ROLL CALL WITH ROBERT TRAYNHAM""",HOST,no,"ROBERT TRAYNHAM, D.C. BUREAU CHIEF, COMCAST NETWORK",label:CNN-167677;CNN-170486;CNN-174042,"First, here's political analyst Robert Traynham.","utterance[FARAI CHIDEYA, host]:NPR-31",25,25,797,0.67,5,2005-07-07,2007-09-12,CNN-117297;CNN-118212;CNN-118933;CNN-124467;CNN-130317;CNN-154962;CNN-167677;CNN-168991;CNN-170486;CNN-171797;CNN-172803;CNN-174042;CNN-174346;CNN-175286;NPR-1635;NPR-2546;NPR-2617;NPR-2731;NPR-2935;NPR-3038;NPR-31;NPR-3181;NPR-3238;NPR-3425;NPR-3827
Omar Gallaga,1,long-tail,RE-ADMIT,25,0,15,10,0,0,0,20,0,0,0,"Mr. OMAR GALLAGA (Reporter, Austin American-Statesman)",REPORTER,no,"Mr. OMAR GALLAGA (Reporter, Austin American-Statesman)",label:NPR-35923;NPR-36333;NPR-36380,,,15,15,2301,1.0,1,2008-07-08,2014-10-26,NPR-25963;NPR-33591;NPR-34888;NPR-35280;NPR-35492;NPR-35553;NPR-35797;NPR-36312;NPR-36364;NPR-36647;NPR-36666;NPR-37338;NPR-37470;NPR-37532;NPR-37765;NPR-37922;NPR-37994;NPR-5959;NPR-6676
Margie Omero,1,long-tail,RE-ADMIT,28,1,8,20,0,0,1,20,1,0,0,"MARGIE OMERO, CO-HOST, ""THE POLLSTERS"" PODCAST",HOST,no,"Ms. MARGIE OMERO (Founder, Momentum Analysis)",label:NPR-3795,"The morning after the third and last presidential debate, David Greene talks to Republican pollster Jim Hobart and Democratic analyst Margie Omero.",summary:NPR-18263,10,10,3088,0.24,14,2010-11-03,2019-04-18,CNN-194042;CNN-194134;CNN-194813;CNN-195411;CNN-222100;CNN-261954;CNN-266471;CNN-274879;CNN-277393;CNN-280657;CNN-283356;CNN-290146;CNN-291103;CNN-291974;CNN-295395;CNN-344195;CNN-350270;CNN-350879;CNN-352304;CNN-353761;CNN-354037;CNN-362760;CNN-363554;CNN-363555;CNN-363556
Kim Goldman,1,long-tail,RE-ADMIT,18,0,5,13,0,0,0,20,0,0,0,"KIM GOLDMAN, RON GOLDMAN'S SISTER, HOST, ""CONFRONTING O.J. SIMPSON"" PODCAST",HOST,no,"KIM GOLDMAN, AUTHOR, CAN'T FORGIVE",label:CNN-230198,,,4,4,998,0.0,12,2004-06-19,2007-03-14,CNN-110074;CNN-112088;CNN-112158;CNN-112179;CNN-112316;CNN-112358;CNN-115257;CNN-115902;CNN-119943;CNN-119944;CNN-119945;CNN-119958;CNN-119959;CNN-119975;CNN-131248;CNN-132996;CNN-132999;CNN-133011;CNN-133015;CNN-133022;CNN-133107;CNN-133518;CNN-133578;CNN-137150;CNN-204682
Kathie Obradovich,1,long-tail,RE-ADMIT,25,0,15,10,0,0,0,20,0,0,0,"KATHIE OBRADOVICH, POLITICAL COLUMNIST, DES MOINES REPORTER",REPORTER,no,"KATHIE OBRADOVICH, POLITICAL COLUMNIST, DES MOINES REPORTER",label:CNN-307588,,,3,3,2650,0.21,8,2005-10-29,2013-01-30,CNN-122565;CNN-168181;CNN-253214;CNN-261977;CNN-267400;CNN-267559;CNN-272882;CNN-273663;CNN-273813;CNN-274770;CNN-275059;CNN-358858;CNN-359546;CNN-383976;CNN-391920;NPR-11766;NPR-43442;NPR-708;NPR-9667
Mark Schleifstein,1,long-tail,RE-ADMIT,9,1,4,5,0,0,1,20,1,0,0,"MARK SCHLEIFSTEIN, ENVIRONMENT REPORTER, TIMES-PICAYUNE",REPORTER,no,"MARK SCHLEIFSTEIN, ENVIRONMENT REPORTER, TIMES-PICAYUNE",label:CNN-130248,We've been talking with reporter Mark Schleifstein of the New Orleans Times-Picayune about the oil spill on the Mississippi River.,"utterance[MELISSA BLOCK, host]:NPR-39404",3,3,2555,0.75,2,2005-08-29,2012-08-27,CNN-151499;NPR-30985;NPR-39404;NPR-43755
Micheline Maynard,1,long-tail,RE-ADMIT,36,0,33,3,0,0,0,18,0,0,0,"MICHELINE MAYNARD (Senior Business Correspondent, New York Times)",CORRESPONDENT,no,"MICHELINE MAYNARD, AUTHOR",label:CNN-77666;CNN-77704,,,6,6,1948,0.58,7,2006-01-23,2011-05-25,CNN-144620;CNN-217336;CNN-77666;CNN-77704;CNN-95264;NPR-13045;NPR-1875;NPR-31208;NPR-3669;NPR-41163;NPR-42972;NPR-5081
Wayne Slater,1,long-tail,RE-ADMIT,52,0,49,3,0,0,0,18,0,0,0,"WAYNE SLATER, SENIOR POLITICAL REPORTER, DALLAS MORNING NEWS",REPORTER,no,"WAYNE SLATER, ""DALLAS MORNING NEWS""",label:CNN-11540;CNN-12491;CNN-19292,,,3,3,2296,0.05,31,2006-02-15,2012-05-30,CNN-104387;CNN-104401;CNN-106019;CNN-106021;CNN-107979;CNN-11540;CNN-119074;CNN-119086;CNN-119089;CNN-119091;CNN-119095;CNN-119097;CNN-123869;CNN-124287;CNN-124288;CNN-12491;CNN-138401;CNN-148486;CNN-148518;CNN-148528;CNN-148538;CNN-148906;CNN-162273;CNN-167371;CNN-170606
Allison Samuels,1,long-tail,RE-ADMIT,68,0,67,1,0,0,0,14,0,0,0,"Ms. ALLISON SAMUELS (National Correspondent, Newsweek)",CORRESPONDENT,review,"ALLISON SAMUELS, ""NEWSWEEK""",label:CNN-124630;CNN-129419;CNN-132690,,,4,4,329,0.25,8,2007-05-04,2008-03-28,CNN-124630;CNN-129419;CNN-132690;CNN-132691;CNN-132725;CNN-132779;CNN-133582;CNN-181025;CNN-181088;CNN-181089;CNN-192137;CNN-95323;NPR-10733;NPR-12731;NPR-1657;NPR-1771
Greg Jaffe,1,long-tail,RE-ADMIT,28,2,27,1,0,0,2,14,2,0,0,"GREG JAFFE, MILITARY REPORTER, ""THE WASHINGTON POST""",REPORTER,no,"GREG JAFFE, MILITARY REPORTER, ""THE WASHINGTON POST""",label:CNN-143917;CNN-144461,"Post reporter Greg Jaffe saw an early draft of that history in the summer of 2009, and he reports that it's markedly different from the final version that was released late this year.",summary:NPR-34104,4,3,3455,0.67,4,2010-04-15,2019-09-30,CNN-144967;CNN-175649;NPR-31826;NPR-526;NPR-8424;NPR-8427
